"Group","Relative_SD","Relative_Variance","Estimated_SD","Estimated_Variance"
"LCG*1200",0.0668889228449184,0.00447412799935345,0.000159988614169839,2.55963566639855e-08
"LCG*1500",0.0443420328703852,0.00196621587907832,0.000106059719407566,1.12486640808116e-08
"LCG*300",1,1,0.00239185514379969,5.72097102892103e-06
"LCG*600",0.327162899180647,0.107035562600286,0.000782526263265649,6.123473527005e-07
"LCG*900",0.0848339570045272,0.00719680026104597,0.00020291053643016,4.11726857943753e-08
"MT*1200",0.994702246652846,0.98943255949622,0.00237918368520572,5.66051500794906e-06
"MT*1500",0.845888969209147,0.715528148229714,0.00202324388208632,4.09351580639971e-06
"MT*300",1.39147693870802,1.93620807095624,0.00332821127332742,1.10769902799037e-05
"MT*600",1.12869078916593,1.27394289754801,0.00269966486982586,7.2881904093719e-06
"MT*900",1.1882468207682,1.41193050706573,0.00284211427035804,8.07761352577282e-06
"RANDU*1200",0.949397901945026,0.901356376217617,0.00227082225527984,5.15663371507423e-06
"RANDU*1500",0.858562130123046,0.737128931281422,0.00205355624720643,4.21709326044054e-06
"RANDU*300",1.3468064741797,1.81388767889235,0.00322136599296943,1.03771988606599e-05
"RANDU*600",1.2016623482007,1.44399239908323,0.00287420226865426,8.26103868113731e-06
"RANDU*900",1.12790521313478,1.2721701698166,0.0026977858857549,7.27804868537834e-06
"XOR*1200",1.01632271098431,1.03291185286249,0.00243089670402826,5.90925878565544e-06
"XOR*1500",0.834875730658013,0.69701748564175,0.00199690181080789,3.98761684200783e-06
"XOR*300",1.34129597952974,1.79907490470264,0.00320818568799605,1.02924554086627e-05
"XOR*600",1.14113218430559,1.30218266205806,0.00272942288478671,7.4497492839974e-06
"XOR*900",1.23847515723262,1.53382071508236,0.00296225317529496,8.7749438745451e-06
